"","isAllNBA","Year","Player","Position","Rebounds","Assists","Blocks","Steals","Points","Turnovers","FieldGoalPercentage","MinutesPerGame","FoulsPerGame"
"1",FALSE,1978,"Zaid Abdul-Aziz","PF-C",3,0,0,0,3,0,0.383,9,1
"2",FALSE,1978,"Zaid Abdul-Aziz","C",7,1,0,0,4,1,0.231,12,2
"3",FALSE,1978,"Zaid Abdul-Aziz","PF",2,0,0,0,3,0,0.426,9,1
"4",FALSE,1978,"Kareem Abdul-Jabbar*","C",12,4,2,1,25,3,0.55,36,2
"5",FALSE,1978,"Tom Abernethy","SF",3,1,0,0,6,0,0.498,18,1
"6",FALSE,1978,"Alvan Adams","C",8,3,0,1,15,3,0.485,27,3
"7",FALSE,1978,"Lucius Allen","PG",2,4,0,1,11,2,0.441,27,2
"8",FALSE,1978,"Jim Ard","C",2,0,0,0,1,0,0.471,8,1
"9",FALSE,1978,"Jim Ard","C",4,1,0,0,1,0,0,9,1
"10",FALSE,1978,"Jim Ard","C",2,0,0,0,1,1,0.5,8,1
"11",FALSE,1978,"Tate Armstrong","SG",1,1,0,0,4,0,0.468,10,0
"12",FALSE,1978,"Bird Averitt","SG",1,3,0,0,9,2,0.409,19,2
"13",FALSE,1978,"Bird Averitt","SG",1,3,0,0,8,2,0.367,19,1
"14",FALSE,1978,"Bird Averitt","SG",1,3,0,0,9,2,0.436,19,2
"15",FALSE,1978,"Dennis Awtrey","C",3,2,0,0,3,1,0.424,20,1
"16",FALSE,1978,"Gus Bailey","SG",1,0,0,0,3,0,0.424,9,0
"17",FALSE,1978,"Greg Ballard","SF",3,0,0,0,4,0,0.425,12,1
"18",FALSE,1978,"Mike Bantom","SF",7,2,0,1,15,2,0.479,33,4
"19",FALSE,1978,"Marvin Barnes","PF",7,2,1,1,11,2,0.422,27,4
"20",FALSE,1978,"Marvin Barnes","PF",7,1,0,0,10,2,0.449,22,3
"21",FALSE,1978,"Marvin Barnes","PF",7,2,1,1,11,2,0.416,28,4
